name,url,district,address,grades,phone,website,page_number
21st Century Early Learning Foundations Academy,https://txschools.gov/?view=school&id=108913118&lng=en,Weslaco ISD,"400 S Oklahoma Ave, Weslaco, TX 78596",Prekindergarten,(956) 969-6620,http://www.wisd.us,1
A B Duncan Collegiate Elem,https://txschools.gov/?view=school&id=077901101&lng=en,Floydada Collegiate ISD,"1101 S 8th St, Floydada, TX 79235",Early Education - Grade 5,(806) 983-5332,http://www.floydadaisd.esc17.net,1
A B Mcbay Elem,https://txschools.gov/?view=school&id=147903103&lng=en,Mexia ISD,"1000 N Ross, Mexia, TX 76667",Early Education - Grade 2,(254) 562-4030,http://www.mexiaisd.net,1
A G Elder Elem,https://txschools.gov/?view=school&id=126905103&lng=en,Joshua ISD,"513 Henderson St, Joshua, TX 76058",Early Education - Grade 5,(817) 202-2500,http://www.joshuaisd.org,1
A M Ochoa Elem,https://txschools.gov/?view=school&id=108902104&lng=en,Donna ISD,"424 S 11th St, Donna, TX 78537",Prekindergarten - Grade 5,(956) 464-1900,http://www.donnaisd.net,1
A M Pate Elem,https://txschools.gov/?view=school&id=220905153&lng=en,Fort Worth ISD,"3800 Anglin Dr, Fort Worth, TX 76119",Prekindergarten - Grade 5,(817) 815-3800,http://www.fortworthisd.org,1
A N Rico Elem,https://txschools.gov/?view=school&id=108913113&lng=en,Weslaco ISD,"2202 N International Blvd, Weslaco, TX 78596",Prekindergarten - Grade 5,(956) 969-6815,http://rico.wisd.us/,1
A P Beutel Elem,https://txschools.gov/?view=school&id=020905102&lng=en,Brazosport ISD,"300 Ligustrum St, Lake Jackson, TX 77566",Kindergarten - Grade 4,(979) 730-7165,,1
A V Cato Elem,https://txschools.gov/?view=school&id=220917101&lng=en,Castleberry ISD,"4501 Barbara Rd, Fort Worth, TX 76114",Prekindergarten - Grade 5,(817) 252-2400,http://avc.castleberryisd.net/,1
A+ Academy Elem,https://txschools.gov/?view=school&id=057829001&lng=en,A+ Academy,"10327 Rylie Rd, Dallas, TX 75217",Prekindergarten - Grade 6,(972) 557-5578,http://www.rylieffa.com,1
Aaron Parker Elem,https://txschools.gov/?view=school&id=139911102&lng=en,North Lamar ISD,"98 CR 44112, Powderly, TX 75473",Prekindergarten - Grade 4,(903) 732-3066,http://www.northlamar.net,1
Abbett Elem,https://txschools.gov/?view=school&id=057909143&lng=en,Garland ISD,"730 W Muirfield Rd, Garland, TX 75044",Kindergarten - Grade 5,(972) 675-3000,http://www.garlandisdschools.net/abbett,1
Abbott School,https://txschools.gov/?view=school&id=109901001&lng=en,Abbott ISD,"219 S First St, Abbott, TX 76621",Prekindergarten - Grade 12,(254) 582-3011,http://www.abbottisd.org,1
Abernathy Elem,https://txschools.gov/?view=school&id=095901101&lng=en,Abernathy ISD,"505 7th St, Abernathy, TX 79311",Early Education - Grade 5,(806) 298-4930,http://www.abernathyisd.com,1
Academy Early Childhood Center,https://txschools.gov/?view=school&id=014901102&lng=en,Academy ISD,"311 N Bumblebee Dr, Little River, TX 76554",Prekindergarten - Grade 2,(254) 982-4621,http://www.academyisd.net,1
